customer_id,signup_date,plan_tier,monthly_price,contract_type,payment_method,country,industry,company_size_employees,monthly_active_users_pct,feature_adoption_count,support_tickets_90d,avg_csat_score,failed_payments_90d,last_login_days_ago,churned,churn_date,tenure_months,lifetime_revenue
C00001,2024-07-01,Pro,79,Month-to-month,Manual Invoice,USA,Manufacturing,46,0.578,3,3,3.23,0,3,0,,26,2054
C00002,2024-12-01,Enterprise,199,1-Year,PayPal,Australia,Marketing/Agency,13,0.456,2,0,4.39,0,4,0,,21,4179
C00003,2026-03-01,Enterprise,199,Month-to-month,Credit Card,USA,Healthcare,32,0.365,5,3,4.78,1,4,0,,6,1194
C00004,2023-07-01,Basic,29,1-Year,Credit Card,Germany,Finance,32,0.409,1,2,3.7,1,25,1,2024-03-01,9,261
C00005,2025-11-01,Pro,79,1-Year,Credit Card,UK,Healthcare,11,0.508,2,1,4.62,0,9,0,,10,790
C00006,2024-12-01,Pro,79,Month-to-month,Credit Card,USA,Healthcare,27,0.287,3,2,3.62,0,6,0,,21,1659
C00007,2024-03-01,Basic,29,Month-to-month,ACH/Bank Transfer,Australia,SaaS/Tech,5,0.467,5,2,4.39,1,4,0,,30,870
C00008,2025-01-01,Enterprise,199,1-Year,ACH/Bank Transfer,India,Marketing/Agency,9,0.497,2,1,4.32,0,0,0,,20,3980
C00009,2024-01-01,Pro,79,Month-to-month,ACH/Bank Transfer,UK,Nonprofit,10,0.501,4,3,4.24,2,5,1,2024-07-01,7,553
C00010,2024-03-01,Basic,29,Month-to-month,ACH/Bank Transfer,USA,SaaS/Tech,53,0.182,5,1,3.13,2,5,1,2024-05-01,3,87
C00011,2024-08-01,Basic,29,1-Year,Credit Card,Australia,Manufacturing,6,0.516,3,5,4.26,0,27,1,2024-10-01,3,87
C00012,2024-02-01,Pro,79,Month-to-month,Manual Invoice,USA,Marketing/Agency,26,0.249,2,0,5.0,1,41,1,2024-08-01,7,553
C00013,2026-07-01,Basic,29,Month-to-month,Credit Card,Canada,Manufacturing,10,0.624,3,2,3.21,2,9,0,,2,58
C00014,2025-11-01,Pro,79,Month-to-month,ACH/Bank Transfer,Canada,Nonprofit,9,0.844,2,2,4.08,0,8,0,,10,790
C00015,2023-08-01,Enterprise,199,1-Year,PayPal,Canada,Nonprofit,11,0.619,3,3,3.52,0,2,0,,37,7363
C00016,2024-05-01,Pro,79,2-Year,ACH/Bank Transfer,USA,Education,3,0.954,1,1,5.0,0,5,0,,28,2212
C00017,2025-02-01,Basic,29,2-Year,Credit Card,USA,E-commerce,10,0.498,1,0,4.42,0,8,0,,19,551
C00018,2025-06-01,Basic,29,Month-to-month,Credit Card,USA,Manufacturing,16,1.0,3,1,3.0,1,11,1,2025-12-01,7,203
C00019,2025-06-01,Basic,29,2-Year,Manual Invoice,Australia,SaaS/Tech,45,0.446,5,2,4.16,0,2,0,,15,435
C00020,2023-12-01,Pro,79,Month-to-month,Credit Card,UK,Healthcare,109,0.537,6,3,4.06,0,5,0,,33,2607
C00021,2025-02-01,Pro,79,Month-to-month,Credit Card,India,Marketing/Agency,13,0.951,2,6,2.91,0,64,1,2025-11-01,10,790
